Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
7179789391,2021-09-23 00:00:01,2021-09-21 09:55:00,,California,714,Dropped call or no message,Y
8246448,2021-09-23 00:00:42,2021-09-22 15:11:00,North Hollywood,California,818,Dropped call or no message,Y
7179789391,2021-09-23 00:00:57,2021-09-21 09:56:00,,California,714,Dropped call or no message,Y
3303725191,2021-09-23 00:02:15,2021-09-21 12:00:00,,Ohio,330,Medical  & prescriptions,Y
3176758325,2021-09-23 00:02:18,2021-09-20 10:49:00,,California,714,Dropped call or no message,Y
9095464941,2021-09-23 00:02:38,2021-09-22 16:34:00,North Hollywood,California,818,Dropped call or no message,Y
3214246638,2021-09-23 00:03:18,2021-09-22 00:00:00,Sparks,Nevada,775,Other,Y
3305838274,2021-09-23 00:03:34,2021-09-20 16:00:00,,Ohio,330,Dropped call or no message,Y
3236147533,2021-09-23 00:04:01,2021-09-22 20:48:00,North Hollywood,California,818,Dropped call or no message,Y
7652177172,2021-09-23 00:04:02,2021-09-22 11:47:00,Natchitoches,Louisiana,318,Medical  & prescriptions,Y
4242893835,2021-09-23 00:04:14,2021-09-22 11:06:00,Manhattan Beach,California,310,Other,Y
5206867926,2021-09-23 00:04:40,2021-09-22 20:13:00,,Arizona,480,Dropped call or no message,Y
8777830908,2021-09-23 00:04:42,2021-09-21 09:00:00,,Ohio,330,Dropped call or no message,Y
5626843545,2021-09-23 00:05:18,2021-09-22 10:22:00,Manhattan Beach,California,310,Other,Y
8887986533,2021-09-23 00:05:44,2021-09-22 19:30:00,Oswego,New York,315,Dropped call or no message,N
2252699260,2021-09-23 00:05:48,2021-09-22 13:04:00,Natchitoches,Louisiana,318,Other,
8889614806,2021-09-23 00:05:48,2021-09-22 15:00:00,,Ohio,330,Dropped call or no message,Y
9282235065,2021-09-23 00:05:57,2021-09-22 09:13:00,,Arizona,480,No Subject Provided,Y
8555863119,2021-09-23 00:06:09,2021-09-23 16:12:00,,New York,347,"Calls pretending to be government, businesses, or family and friends",Y
8889614806,2021-09-23 00:06:41,2021-09-22 16:00:00,,Ohio,330,Dropped call or no message,Y
6194333482,2021-09-23 00:06:56,2021-09-20 01:01:00,Manhattan Beach,California,310,Other,Y
5513061163,2021-09-23 00:07:04,2021-09-20 12:00:00,Chicago,Illinois,773,"Calls pretending to be government, businesses, or family and friends",N
7316230764,2021-09-23 00:07:20,2021-09-20 15:21:00,,Tennessee,615,Warranties  & protection plans,Y
,2021-09-23 00:07:22,2021-09-23 00:00:00,,New Jersey,732,No Subject Provided,Y
6143507979,2021-09-23 00:08:05,2021-09-22 15:08:00,Natchitoches,Louisiana,318,Other,
3104626789,2021-09-23 00:08:17,2021-09-14 00:00:00,Manhattan Beach,California,310,Other,Y
336005027494,2021-09-23 00:08:51,2021-09-20 09:35:00,Spring,Texas,281,Dropped call or no message,Y
2084693196,2021-09-23 00:09:29,2021-09-22 04:54:00,Boise,Idaho,208,Dropped call or no message,Y
6159880252,2021-09-23 00:09:55,2021-09-22 10:01:00,,Tennessee,615,Warranties  & protection plans,Y
2818103509,2021-09-23 00:09:57,2021-09-20 17:35:00,Spring,Texas,281,Dropped call or no message,Y
6282887356,2021-09-23 00:10:01,2021-09-22 09:08:00,,Illinois,815,No Subject Provided,
8608882717,2021-09-23 00:10:01,2021-09-15 09:40:00,South Windsor,Connecticut,860,Dropped call or no message,Y
2816038891,2021-09-23 00:10:48,2021-09-21 14:20:00,Spring,Texas,281,Dropped call or no message,Y
8603411673,2021-09-23 00:11:21,2021-09-15 20:56:00,South Windsor,Connecticut,860,Dropped call or no message,Y
2816612805,2021-09-23 00:11:56,2021-09-21 17:57:00,Spring,Texas,281,Dropped call or no message,Y
2566399339,2021-09-23 00:12:02,2021-09-22 09:55:00,,Illinois,815,No Subject Provided,
7027463025,2021-09-23 00:12:08,2021-09-22 00:00:00,,Nevada,702,Warranties  & protection plans,Y
9718886688,2021-09-23 00:12:34,2021-09-16 13:40:00,South Windsor,Connecticut,860,Dropped call or no message,Y
2816525911,2021-09-23 00:12:59,2021-09-22 14:11:00,Spring,Texas,281,Dropped call or no message,Y
8152833201,2021-09-23 00:13:51,2021-09-22 14:32:00,,Illinois,815,No Subject Provided,
6269953740,2021-09-23 00:14:43,2021-09-22 09:08:00,,California,562,No Subject Provided,N
7752279592,2021-09-23 00:14:10,2021-09-22 09:44:00,,Hawaii,808,Other,N
8327838484,2021-09-23 00:14:29,2021-09-22 15:32:00,Spring,Texas,281,Warranties  & protection plans,Y
7866767074,2021-09-23 00:15:07,2021-09-20 00:00:00,,Nevada,702,"Reducing your debt (credit cards, mortgage, student loans)",Y
2085797902,2021-09-23 00:15:12,2021-09-22 11:02:00,,Hawaii,808,Other,N
6037850849,2021-09-23 00:15:15,2021-09-22 13:22:00,North Hampton,New Hampshire,603,Other,Y
7023440093,2021-09-23 00:15:57,2021-09-22 00:00:00,,Nevada,702,No Subject Provided,
3602305015,2021-09-23 00:16:06,2021-09-22 14:01:00,,Hawaii,808,Dropped call or no message,N
7756443505,2021-09-23 00:16:30,2021-09-22 00:00:00,,Nevada,702,No Subject Provided,
8152833201,2021-09-23 00:16:41,2021-09-22 14:32:00,,Illinois,815,No Subject Provided,
3123139195,2021-09-23 00:16:46,2021-09-22 12:27:00,Ingleside,Texas,806,Other,Y
9712934366,2021-09-23 00:16:50,2021-09-22 14:08:00,,Hawaii,808,Dropped call or no message,
7027463025,2021-09-23 00:17:01,2021-09-21 00:00:00,,Nevada,702,No Subject Provided,
7752575779,2021-09-23 00:17:35,2021-09-22 14:11:00,,Hawaii,808,Dropped call or no message,N
7756443559,2021-09-23 00:17:42,2021-09-21 00:00:00,,Nevada,702,No Subject Provided,
8608553733,2021-09-23 00:17:47,2021-09-16 15:38:00,South Windsor,Connecticut,860,Warranties  & protection plans,Y
,2021-09-23 00:18:10,2021-09-20 00:00:00,,Nevada,702,No Subject Provided,
