Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
9792340943,2021-10-05 00:02:39,2021-09-28 17:13:00,,Texas,832,No Subject Provided,
2692086616,2021-10-05 00:02:42,2021-10-04 11:10:00,COLLEGE PLACE,Washington,269,Other,N
6787121203,2021-10-05 00:02:54,2021-10-04 15:45:00,Lilburn,Georgia,770,Other,Y
8328384664,2021-10-05 00:04:06,2021-09-28 10:35:00,,Texas,832,No Subject Provided,
2108951655,2021-10-05 00:03:43,2021-10-04 00:00:00,,Texas,210,No Subject Provided,Y
8578009451,2021-10-05 00:04:23,2021-10-04 11:00:00,,New Hampshire,603,"Calls pretending to be government, businesses, or family and friends",Y
7472471682,2021-10-05 00:04:44,2021-10-04 14:49:00,,California,916,Other,Y
8328384493,2021-10-05 00:05:30,2021-09-27 16:45:00,,Texas,832,No Subject Provided,
2694764832,2021-10-05 00:05:31,2021-10-04 09:20:00,COLLEGE PLACE,Michigan,269,Other,N
6099314008,2021-10-05 00:05:40,2021-09-21 18:58:00,Cream Ridge,New Jersey,609,Dropped call or no message,Y
8889346489,2021-10-05 00:06:11,2021-10-04 12:00:00,,,888,Computer  & technical support,N
2819680430,2021-10-05 00:07:01,2021-09-27 15:03:00,,Texas,832,No Subject Provided,
6098215854,2021-10-05 00:06:42,2021-09-21 14:40:00,Cream Ridge,New Jersey,609,Dropped call or no message,Y
7579800338,2021-10-05 00:07:45,2021-09-21 12:32:00,Cream Ridge,New Jersey,609,Dropped call or no message,Y
2819680977,2021-10-05 00:08:27,2021-09-27 12:46:00,,Texas,832,No Subject Provided,
4783412064,2021-10-05 00:08:14,2021-10-04 14:00:00,Lilburn,Georgia,770,Other,Y
7708121132,2021-10-05 00:08:51,2021-10-04 14:00:00,Lilburn,Georgia,770,Other,Y
6092191000,2021-10-05 00:09:04,2021-09-21 10:42:00,Cream Ridge,New Jersey,609,"Calls pretending to be government, businesses, or family and friends",Y
9363988502,2021-10-05 00:09:59,2021-09-29 18:49:00,,Texas,832,No Subject Provided,
2692508674,2021-10-05 00:09:57,2021-10-01 12:48:00,COLLEGE PLACE,Michigan,269,Other,N
9084908868,2021-10-05 00:10:16,2021-09-21 10:41:00,Cream Ridge,New Jersey,609,Dropped call or no message,Y
5037053365,2021-10-05 00:10:32,2021-10-04 16:58:00,Miami,Florida,786,Other,N
6789901333,2021-10-05 00:10:46,2021-10-04 13:47:00,Lilburn,Georgia,770,Other,Y
8027802077,2021-10-05 00:11:08,2021-10-04 14:16:00,,California,818,Other,Y
6082191000,2021-10-05 00:11:18,2021-09-21 09:34:00,Cream Ridge,New Jersey,609,"Calls pretending to be government, businesses, or family and friends",Y
2692085442,2021-10-05 00:12:05,2021-09-30 11:08:00,COLLEGE PLACE,Michigan,269,Other,N
2295093120,2021-10-05 00:12:34,2021-10-04 13:24:00,Lilburn,Georgia,770,Other,Y
9739434868,2021-10-05 00:12:44,2021-09-20 12:24:00,Cream Ridge,New Jersey,609,Medical  & prescriptions,Y
7192995908,2021-10-05 00:12:56,2021-10-04 13:10:00,,Colorado,719,No Subject Provided,Y
