Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
,2021-09-20 00:02:39,2021-09-19 20:48:00,Novato,California,415,Other,Y
3305838677,2021-09-20 00:03:27,2021-09-17 15:00:00,,Ohio,330,Dropped call or no message,Y
8777826598,2021-09-20 00:04:48,2021-09-18 10:00:00,,Ohio,330,Dropped call or no message,Y
8888597197,2021-09-20 00:06:07,2021-09-18 14:00:00,,Ohio,330,Dropped call or no message,Y
2519654409,2021-09-20 00:06:58,2021-09-17 13:22:00,Foley,Alabama,251,Dropped call or no message,N
6514148203,2021-09-20 00:08:55,2021-09-19 20:34:00,Silverdale,Washington,360,Other,Y
5707752081,2021-09-20 00:14:07,2021-08-17 14:24:00,,Illinois,309,No Subject Provided,Y
3128714243,2021-09-20 00:15:50,2021-08-17 14:16:00,Chamberlain,South Dakota,605,"Calls pretending to be government, businesses, or family and friends",Y
4124579903,2021-09-20 00:16:33,2021-08-18 12:08:00,Chamberlain,South Dakota,605,"Calls pretending to be government, businesses, or family and friends",Y
4243639397,2021-09-20 00:16:51,2021-09-19 18:20:00,,California,925,Dropped call or no message,Y
7243058649,2021-09-20 00:17:40,2021-08-25 14:19:00,Chamberlain,South Dakota,605,"Calls pretending to be government, businesses, or family and friends",Y
6107237356,2021-09-20 00:18:38,2021-09-04 10:25:00,Pelham,Alabama,205,Dropped call or no message,
3186565481,2021-09-20 00:18:44,2021-09-08 13:52:00,Chamberlain,South Dakota,605,"Calls pretending to be government, businesses, or family and friends",Y
7325383908,2021-09-20 00:19:33,2021-09-10 11:50:00,Chamberlain,South Dakota,605,"Calls pretending to be government, businesses, or family and friends",Y
9852217841,2021-09-20 00:20:38,2021-09-16 11:29:00,Chamberlain,South Dakota,605,"Calls pretending to be government, businesses, or family and friends",Y
4022626478,2021-09-20 00:21:22,2021-08-19 20:40:00,,Illinois,309,No Subject Provided,Y
4022626478,2021-09-20 00:24:00,2021-08-19 20:39:00,,Illinois,309,No Subject Provided,Y
6186677469,2021-09-20 00:29:11,2021-08-11 10:44:00,Chamberlain,South Dakota,605,"Calls pretending to be government, businesses, or family and friends",Y
6057897401,2021-09-20 00:30:16,2021-08-25 18:43:00,Chamberlain,South Dakota,605,"Calls pretending to be government, businesses, or family and friends",Y
2138178016,2021-09-20 00:30:20,2021-09-17 14:34:00,,California,213,"Calls pretending to be government, businesses, or family and friends",Y
6057897401,2021-09-20 00:31:20,2021-08-25 18:43:00,Chamberlain,South Dakota,605,"Calls pretending to be government, businesses, or family and friends",Y
6057897557,2021-09-20 00:32:15,2021-08-30 13:28:00,Chamberlain,South Dakota,605,"Calls pretending to be government, businesses, or family and friends",Y
8665682498,2021-09-20 00:33:05,2021-08-31 10:29:00,Chamberlain,South Dakota,605,"Calls pretending to be government, businesses, or family and friends",Y
329068403684,2021-09-20 00:34:03,2021-09-03 08:18:00,Chamberlain,South Dakota,605,"Calls pretending to be government, businesses, or family and friends",Y
8336310593,2021-09-20 00:34:52,2021-09-08 17:14:00,Chamberlain,South Dakota,605,"Calls pretending to be government, businesses, or family and friends",Y
7206948137,2021-09-20 00:35:38,2021-09-11 16:12:00,Chamberlain,South Dakota,605,"Calls pretending to be government, businesses, or family and friends",Y
7607913604,2021-09-20 00:41:33,2021-09-17 11:16:00,Carlsbad,California,760,Dropped call or no message,
6613356410,2021-09-20 00:46:18,2021-09-17 14:15:00,Carlsbad,California,760,Warranties  & protection plans,Y
6622553743,2021-09-20 00:48:36,2021-09-19 21:47:00,Spring Valley,California,619,Other,N
1814408044,2021-09-20 00:51:05,2021-09-19 12:00:00,Pomona,California,442,"Calls pretending to be government, businesses, or family and friends",N
2059195068,2021-09-20 00:55:09,2021-09-07 11:21:00,Pelham,Alabama,205,Dropped call or no message,
6074414096,2021-09-20 00:59:48,2021-09-17 14:02:00,Cheektowaga,New York,716,Dropped call or no message,Y
8777524014,2021-09-20 00:01:51,2021-09-17 13:00:00,,Ohio,330,Dropped call or no message,Y
4158448136,2021-09-20 00:01:03,2021-09-17 17:28:00,,California,925,"Lotteries, prizes  & sweepstakes",Y
8332641428,2021-09-20 00:00:39,2021-09-17 09:00:00,,Ohio,330,Dropped call or no message,Y
4055621954,2021-09-20 01:01:12,2021-09-07 16:39:00,Pelham,Alabama,205,Dropped call or no message,
5134963763,2021-09-20 01:09:07,2021-09-16 11:10:00,Pelham,Alabama,205,Dropped call or no message,
5624611532,2021-09-20 01:09:58,2021-09-19 11:16:00,,California,562,No Subject Provided,N
8086494194,2021-09-20 01:10:08,2021-09-19 17:34:00,mililani,Hawaii,808,Other,
6092001715,2021-09-20 01:19:04,2021-09-20 00:21:00,,Oregon,609,"Calls pretending to be government, businesses, or family and friends",Y
5208580115,2021-09-20 01:23:08,2021-09-18 14:23:00,tucson,Arizona,520,Other,Y
2056149942,2021-09-20 01:30:02,2021-09-17 15:44:00,Pelham,Alabama,205,Warranties  & protection plans,Y
8474430625,2021-09-20 01:31:18,2021-07-12 14:10:00,,Illinois,847,Dropped call or no message,N
8722412811,2021-09-20 01:32:25,2021-07-12 11:37:00,,Illinois,847,Dropped call or no message,N
7732450744,2021-09-20 01:36:27,2021-06-26 13:49:00,,Illinois,847,Dropped call or no message,N
7792686721,2021-09-20 01:38:00,2021-06-25 16:59:00,,Illinois,847,Dropped call or no message,N
7014956547,2021-09-20 01:39:01,2021-06-25 10:55:00,,Illinois,847,Dropped call or no message,N
8479875253,2021-09-20 01:42:13,2021-06-24 16:24:00,,Illinois,847,Dropped call or no message,N
5013690319,2021-09-20 01:42:38,2021-09-15 14:14:00,,Arkansas,870,Warranties  & protection plans,Y
7075991839,2021-09-20 01:42:59,2021-09-14 12:47:00,,California,707,Warranties  & protection plans,Y
8479874995,2021-09-20 01:43:11,2021-06-24 14:21:00,,Illinois,847,Dropped call or no message,N
5013690319,2021-09-20 01:43:54,2021-09-17 14:50:00,,Arkansas,870,Warranties  & protection plans,Y
8479877324,2021-09-20 01:44:50,2021-06-24 13:36:00,,Illinois,847,Dropped call or no message,N
7029791180,2021-09-20 01:45:46,2021-09-19 03:09:00,Barstow,California,760,Dropped call or no message,Y
2245099361,2021-09-20 01:46:00,2021-06-24 11:54:00,,Illinois,847,Dropped call or no message,N
8479879419,2021-09-20 01:47:09,2021-06-24 09:58:00,,Illinois,847,Dropped call or no message,N
,2021-09-20 01:48:26,2021-09-13 14:08:00,,Pennsylvania,215,Other,Y
9283847841,2021-09-20 01:50:38,2021-09-16 08:54:00,,Arizona,928,Warranties  & protection plans,Y
8005881659,2021-09-20 01:52:19,2021-09-19 14:39:00,BRONX,New York,718,Other,Y
7017120699,2021-09-20 02:13:15,2021-09-18 11:00:00,LANGDON,North Dakota,701,Other,Y
9174199089,2021-09-20 02:26:10,2021-09-17 00:13:00,Brighton,Massachusetts,857,Other,Y
,2021-09-20 02:42:30,2021-09-16 08:43:00,Upper Marlboro,Maryland,240,"Calls pretending to be government, businesses, or family and friends",N
8555651700,2021-09-20 02:53:44,2021-07-29 14:57:00,Fremont,California,510,"Reducing your debt (credit cards, mortgage, student loans)",N
6173150765,2021-09-20 02:53:44,2021-09-19 20:52:00,,Massachusetts,617,Other,Y
8767926301,2021-09-20 03:04:52,2021-09-18 07:45:00,Anchorage,Alaska,907,No Subject Provided,N
9073541880,2021-09-20 03:09:15,2021-08-30 12:30:00,Anchorage,Alaska,907,No Subject Provided,Y
9072871364,2021-09-20 03:12:28,2021-09-17 00:00:00,Anchorage,Alaska,907,No Subject Provided,Y
8764978342,2021-09-20 03:16:40,2021-09-02 06:34:00,Anchorage,Alaska,907,"Lotteries, prizes  & sweepstakes",N
8104869655,2021-09-20 01:01:15,2021-09-18 12:00:00,Bongaigaon,Florida,863,Other,N
,2021-09-20 01:01:52,2021-09-14 16:09:00,Hickory,North Carolina,828,"Calls pretending to be government, businesses, or family and friends",Y
2255332889,2021-09-20 01:04:50,2021-09-13 11:21:00,Pelham,Alabama,205,Dropped call or no message,
7142434335,2021-09-20 03:25:30,2021-09-03 17:18:00,,Florida,239,"Reducing your debt (credit cards, mortgage, student loans)",Y
3322105137,2021-09-20 03:46:51,2021-09-16 15:35:00,Kansas City,Missouri,816,"Calls pretending to be government, businesses, or family and friends",Y
3048399622,2021-09-20 04:00:00,2018-02-12 12:32:00,Ranson,West Virginia,304,"Calls pretending to be government, businesses, or family and friends",Y
8445337130,2021-09-20 04:00:44,2021-09-19 00:10:00,,California,510,"Calls pretending to be government, businesses, or family and friends",N
,2021-09-20 04:02:19,2020-10-15 12:00:00,,Florida,407,No Subject Provided,Y
9295775526,2021-09-20 04:11:28,2021-06-29 00:03:00,Bronx,New York,929,"Calls pretending to be government, businesses, or family and friends",Y
2097348073,2021-09-20 05:10:27,2021-09-18 08:33:00,San Jose,California,408,Dropped call or no message,N
7476004280,2021-09-20 05:11:15,2021-09-18 13:51:00,San Jose,California,408,Dropped call or no message,N
8662753866,2021-09-20 05:53:32,2021-09-20 12:00:00,,California,323,"Calls pretending to be government, businesses, or family and friends",N
8593656290,2021-09-20 06:03:30,2021-09-18 15:16:00,,Kentucky,859,Dropped call or no message,N
8593656280,2021-09-20 06:05:42,2021-09-18 18:46:00,,Kentucky,859,Dropped call or no message,N
8005243104,2021-09-20 06:14:27,2021-09-19 16:28:00,Akron,Ohio,330,Other,Y
,2021-09-20 06:14:58,2021-09-11 20:40:00,,New Jersey,201,No Subject Provided,Y
9192021,2021-09-20 06:15:21,2021-09-19 13:26:00,Thomasville,North Carolina,336,"Calls pretending to be government, businesses, or family and friends",Y
6099132095,2021-09-20 06:18:50,2021-09-17 19:30:00,,New Jersey,201,No Subject Provided,
9037651335,2021-09-20 06:28:12,2021-09-17 10:36:00,China Spring,Texas,903,Other,N
2152861700,2021-09-20 06:37:33,2021-09-18 14:15:00,Arnold,Maryland,410,Other,N
2075605750,2021-09-20 06:45:24,2021-09-17 08:17:00,,New Jersey,973,No Subject Provided,Y
4843674955,2021-09-20 07:03:41,2021-09-20 03:52:00,Commercial Point,Ohio,614,Medical  & prescriptions,Y
4843674955,2021-09-20 07:08:46,2021-09-20 03:52:00,Commercial Point,Ohio,614,Medical  & prescriptions,Y
6149994983,2021-09-20 07:14:08,2021-09-19 00:00:00,Columbus,Ohio,614,Dropped call or no message,N
6149995196,2021-09-20 07:14:52,2021-09-19 00:00:00,Columbus,Ohio,614,Dropped call or no message,N
9103630422,2021-09-20 07:22:48,2021-09-20 07:16:00,,North Carolina,910,No Subject Provided,Y
8638046805,2021-09-20 07:25:22,2021-09-17 08:55:00,Tamarac,Florida,305,Other,Y
5102444747,2021-09-20 07:29:04,2021-09-20 06:15:00,Toms River,New Jersey,732,Other,N
2186732161,2021-09-20 07:30:34,2021-09-17 13:05:00,,Texas,972,No Subject Provided,Y
9106239135,2021-09-20 07:31:23,2021-09-17 00:00:00,Charlotte,North Carolina,704,Dropped call or no message,Y
8284637722,2021-09-20 07:31:29,2021-09-19 00:00:00,,North Carolina,919,No Subject Provided,
7042474108,2021-09-20 07:31:50,2021-09-17 00:00:00,Charlotte,North Carolina,704,Dropped call or no message,Y
9706488199,2021-09-20 07:31:56,2021-09-17 14:10:00,,Texas,972,No Subject Provided,Y
9197731548,2021-09-20 07:32:15,2021-09-17 00:00:00,Charlotte,North Carolina,704,Other,Y
7046106014,2021-09-20 07:32:40,2021-09-17 00:00:00,Charlotte,North Carolina,704,Other,Y
07426943034,2021-09-20 07:33:06,2021-09-20 12:20:00,,Illinois,447,"Calls pretending to be government, businesses, or family and friends",Y
9729380894,2021-09-20 07:33:21,2021-09-17 14:20:00,,Texas,972,No Subject Provided,Y
3023280286,2021-09-20 07:33:25,2021-09-13 12:13:00,Wilmington,Delaware,302,Warranties  & protection plans,Y
9723826758,2021-09-20 07:34:49,2021-09-17 18:27:00,,Texas,972,No Subject Provided,Y
3024698474,2021-09-20 07:35:07,2021-09-15 16:34:00,Wilmington,Delaware,302,Warranties  & protection plans,Y
3365793227,2021-09-20 07:35:15,2021-09-19 08:03:00,,North Carolina,336,Other,Y
3362237934,2021-09-20 07:36:07,2021-09-19 16:47:00,,North Carolina,336,Other,Y
9106239135,2021-09-20 07:36:40,2021-09-17 00:00:00,Charlotte,North Carolina,704,Dropped call or no message,Y
8284637722,2021-09-20 07:36:46,2021-09-19 00:00:00,,North Carolina,919,No Subject Provided,
3023611681,2021-09-20 07:37:55,2021-09-13 17:47:00,Wilmington,Delaware,302,Warranties  & protection plans,Y
8622186699,2021-09-20 07:38:23,2021-09-20 06:00:00,,New Jersey,862,Dropped call or no message,N
,2021-09-20 07:38:44,2021-09-20 06:14:00,,California,805,Other,Y
4788417875,2021-09-20 07:51:28,2021-09-18 18:56:00,Hardwick,Georgia,478,"Calls pretending to be government, businesses, or family and friends",Y
484674955,2021-09-20 08:00:20,2021-09-19 00:30:00,Bainbridge,Ohio,740,"Lotteries, prizes  & sweepstakes",Y
6524807640,2021-09-20 08:00:47,2021-09-19 20:59:00,New Braunfels,Texas,830,"Lotteries, prizes  & sweepstakes",Y
6466662029,2021-09-20 08:01:59,2021-09-19 13:24:00,New York,New York,917,Other,Y
2157251996,2021-09-20 08:08:38,2021-09-19 17:20:00,Philadelphia,Pennsylvania,215,"Calls pretending to be government, businesses, or family and friends",Y
7812108276,2021-09-20 08:10:37,2021-09-18 17:52:00,Wilmington,Massachusetts,781,Warranties  & protection plans,Y
2027458000,2021-09-20 08:13:00,2021-09-18 11:21:00,,Illinois,630,Dropped call or no message,Y
3303481113,2021-09-20 08:13:13,2021-09-19 15:49:00,,Florida,813,No Subject Provided,N
7652984720,2021-09-20 08:15:02,2021-09-20 08:08:00,,Indiana,765,No Subject Provided,N
2157252594,2021-09-20 08:16:04,2021-09-19 17:47:00,Philadelphia,Pennsylvania,215,"Calls pretending to be government, businesses, or family and friends",Y
7343547404,2021-09-20 08:17:32,2021-09-16 17:22:00,Saline,Michigan,734,Other,Y
6467561874,2021-09-20 08:18:03,2021-09-17 18:21:00,EDEN,New York,716,Warranties  & protection plans,Y
7162149965,2021-09-20 08:18:42,2021-09-19 15:10:00,North Tonawanda,New York,716,Other,Y
7349915499,2021-09-20 08:18:43,2021-09-14 19:15:00,Saline,Michigan,734,Other,Y
8336171480,2021-09-20 08:21:35,2021-09-16 00:00:00,Acworth,Georgia,786,No Subject Provided,Y
2157258362,2021-09-20 08:23:00,2021-09-19 17:53:00,Philadelphia,Pennsylvania,215,"Calls pretending to be government, businesses, or family and friends",Y
3392173251,2021-09-20 08:23:03,2021-09-20 08:00:00,,Massachusetts,413,"Calls pretending to be government, businesses, or family and friends",Y
8668530205,2021-09-20 08:24:08,2021-09-10 00:00:00,Acworth,Florida,786,No Subject Provided,Y
8763919849,2021-09-20 08:25:17,2021-09-20 06:18:00,Flagstaff,Arizona,540,Other,N
8436489280,2021-09-20 08:25:29,2021-09-17 16:16:00,,South Carolina,864,Other,Y
8435679140,2021-09-20 08:25:58,2021-09-17 16:49:00,,South Carolina,864,Other,Y
3523098546,2021-09-20 08:26:18,2021-09-02 00:00:00,Acworth,Florida,786,Warranties  & protection plans,Y
3524055864,2021-09-20 08:27:28,2021-09-20 08:16:00,,Florida,954,Other,N
5857077328,2021-09-20 08:27:51,2021-09-20 08:10:00,Rochester,New York,585,Warranties  & protection plans,Y
8885255210,2021-09-20 08:30:14,2021-09-14 14:21:00,,North Carolina,919,No Subject Provided,Y
2157252289,2021-09-20 08:30:52,2021-09-19 17:58:00,Philadelphia,Pennsylvania,215,"Calls pretending to be government, businesses, or family and friends",Y
9153338781,2021-09-20 08:32:48,2021-09-19 16:29:00,Houston,Texas,281,Other,Y
3219483171,2021-09-20 08:33:33,2021-09-20 08:24:00,Maitland,Florida,321,Other,Y
8645737871,2021-09-20 08:34:33,2021-09-20 08:26:00,,Virginia,804,No Subject Provided,N
8506762033,2021-09-20 08:34:36,2021-09-17 12:00:00,Yorktown,Indiana,765,"Calls pretending to be government, businesses, or family and friends",N
7036748338,2021-09-20 08:35:55,2021-09-20 05:26:00,Carlsbad,California,760,Warranties  & protection plans,Y
2293481447,2021-09-20 08:38:58,2021-09-20 08:30:00,,Connecticut,203,No Subject Provided,N
5185536320,2021-09-20 08:40:53,2021-09-20 01:19:00,Madison,Wisconsin,608,"Reducing your debt (credit cards, mortgage, student loans)",Y
8338661770,2021-09-20 08:41:13,2021-09-14 11:26:00,WAYNE,New Jersey,973,Other,Y
2347080601378,2021-09-20 08:42:38,2021-09-20 13:00:00,Lagos,Louisiana,818,"Lotteries, prizes  & sweepstakes",Y
8506004135,2021-09-20 08:42:44,2021-09-18 14:55:00,WINTER HAVEN,Florida,863,Other,Y
8548548054,2021-09-20 08:43:52,2021-09-20 08:10:00,Garner,North Carolina,919,"Calls pretending to be government, businesses, or family and friends",Y
8137264340,2021-09-20 08:44:00,2021-09-18 14:42:00,WINTER HAVEN,Florida,863,Other,Y
7543457519,2021-09-20 08:44:35,2021-09-18 14:30:00,WINTER HAVEN,Florida,863,Other,Y
8505209601,2021-09-20 08:45:20,2021-09-18 13:56:00,WINTER HAVEN,Florida,863,Other,Y
9123071965,2021-09-20 08:46:44,2021-09-20 02:31:00,Madison,Wisconsin,608,Work from home  & other ways to make money,Y
8283749796,2021-09-20 08:49:37,2021-09-20 08:23:00,Canton,North Carolina,828,Other,Y
9133129490,2021-09-20 08:49:57,2021-09-20 20:43:00,punta gorda,Florida,727,"Reducing your debt (credit cards, mortgage, student loans)",N
,2021-09-20 08:51:48,2020-09-20 08:48:00,,Rhode Island,401,No Subject Provided,N
5102444747,2021-09-20 08:51:08,2021-09-20 08:31:00,Toms River,New Jersey,732,Other,N
9412106556,2021-09-20 08:51:30,2021-09-20 08:37:00,Riverview,Florida,727,Charities,Y
3524055864,2021-09-20 08:52:07,2021-09-20 08:42:00,Live Oak,Florida,386,"Calls pretending to be government, businesses, or family and friends",Y
5102444747,2021-09-20 08:52:28,2021-09-20 08:34:00,Toms River,New Jersey,732,Other,N
9173299998,2021-09-20 08:52:36,2021-09-18 13:15:00,Mint Hill,New York,646,Other,Y
7342067228,2021-09-20 08:53:20,2021-09-20 08:24:00,Manson,North Carolina,252,Other,Y
3345135749,2021-09-20 08:53:42,2021-09-14 10:50:00,RAINBOW CITY,Alabama,256,Warranties  & protection plans,Y
2393882638,2021-09-20 08:53:51,2021-09-15 10:18:00,Upton,Massachusetts,508,Other,
2312415581,2021-09-20 08:53:54,2021-09-20 08:16:00,,Michigan,231,Dropped call or no message,Y
8664697276,2021-09-20 08:54:12,2021-09-17 18:18:00,Mint Hill,New York,646,Warranties  & protection plans,Y
,2021-09-20 08:54:18,2021-09-15 19:19:00,,Virginia,434,No Subject Provided,Y
5404414397,2021-09-20 08:54:36,2021-09-20 07:01:00,Madison,Wisconsin,608,Other,Y
2565527244,2021-09-20 08:54:51,2021-09-11 12:04:00,RAINBOW CITY,Alabama,256,Warranties  & protection plans,Y
2543215569,2021-09-20 08:54:55,2021-09-20 08:51:00,,Maryland,410,No Subject Provided,Y
8446850046,2021-09-20 08:55:28,2021-09-18 16:17:00,,Maryland,410,No Subject Provided,Y
2763789890,2021-09-20 08:55:47,2021-09-20 08:51:00,,Virginia,703,Other,Y
3018597627,2021-09-20 08:56:06,2021-09-17 17:09:00,,Maryland,410,No Subject Provided,Y
9592429435,2021-09-20 08:56:39,2021-09-17 16:57:00,,Maryland,410,No Subject Provided,Y
2393882660,2021-09-20 08:57:08,2021-09-17 16:32:00,,Maryland,410,No Subject Provided,Y
8888032295,2021-09-20 08:57:35,2021-09-17 16:03:00,,Maryland,410,No Subject Provided,Y
2149878158,2021-09-20 08:58:01,2021-09-17 15:13:00,Fort Worth,Texas,469,Warranties  & protection plans,Y
8888023183,2021-09-20 08:58:07,2021-09-17 15:25:00,,Maryland,410,No Subject Provided,Y
8662586196,2021-09-20 08:58:36,2021-09-17 15:20:00,,Maryland,410,No Subject Provided,Y
8592232706,2021-09-20 08:58:51,2021-09-16 11:10:00,Nicholasville,Kentucky,859,Other,Y
3012429473,2021-09-20 08:58:56,2021-09-02 18:10:00,TINTON FALLS,New Jersey,732,"Calls pretending to be government, businesses, or family and friends",N
8888427496,2021-09-20 08:59:02,2021-09-17 15:05:00,,Maryland,410,No Subject Provided,Y
4107534119,2021-09-20 08:59:04,2021-09-20 08:53:00,Reisterstown,Maryland,410,"Energy, solar,  & utilities",N
7372640092,2021-09-20 08:59:08,2021-09-17 09:33:00,Fort Worth,Texas,469,Warranties  & protection plans,Y
4108283934,2021-09-20 08:59:34,2021-09-17 14:01:00,,Maryland,410,No Subject Provided,Y
4106235055,2021-09-20 09:00:04,2021-09-17 13:46:00,,Maryland,410,No Subject Provided,Y
8592694063,2021-09-20 09:00:29,2021-09-16 11:23:00,Nicholasville,Kentucky,859,Other,Y
4108288358,2021-09-20 09:00:35,2021-09-17 12:02:00,,Maryland,410,No Subject Provided,Y
8774636554,2021-09-20 09:01:07,2021-09-17 11:36:00,,Maryland,410,No Subject Provided,Y
8883795339,2021-09-20 09:01:34,2021-09-17 10:54:00,,Maryland,410,No Subject Provided,Y
8592236473,2021-09-20 09:01:56,2021-09-16 11:35:00,Nicholasville,Kentucky,859,Other,Y
8662595130,2021-09-20 09:02:01,2021-09-17 10:05:00,,Maryland,410,No Subject Provided,Y
